consensus,rounds
2.000000,8405
1.999998,9461
2.000000,8514
2.000000,7832
2.000000,8903
1.999999,7860
2.000000,8340
2.000000,7297
1.999999,8147
2.000000,6294
2.000000,7830
2.000000,8673
1.999999,8196
1.999998,8972
2.000000,6747
2.000001,7586
2.000000,6445
2.000000,6926
2.000002,9084
1.999998,8459
2.000000,7374
2.000000,7879
1.999999,9008
1.999999,9908
2.000000,8349
1.999999,8011
1.999999,8527
2.000000,7227
1.999999,9578
1.999999,9819
1.999999,9371
2.000000,8191
2.000000,8317
1.999999,8014
2.000001,8683
2.000000,7596
2.000000,7427
1.999996,8814
2.000000,7275
1.999999,7502
1.999999,8126
2.000000,7923
2.000000,7664
1.999999,9939
1.999998,9234
1.999999,7894
2.000000,7391
2.000000,8503
2.000000,8263
2.000000,6677
2.000000,5938
2.000000,8397
2.000000,9396
1.999999,6878
1.999999,7928
2.000000,8538
2.000000,7743
2.000000,7549
2.000000,8800
2.000000,6932
2.000000,7028
1.999999,6813
2.000000,6922
2.000000,8778
2.000000,7746
2.000000,7786
2.000000,6582
2.000000,7052
1.999999,7485
2.000000,6806
2.000000,8309
1.999999,6779
1.999999,7877
2.000000,8360
2.000000,6841
1.999999,6911
2.000000,7950
2.000000,7921
1.999999,10212
2.000000,7704
2.000000,8248
2.000000,7809
2.000000,6376
1.999999,7520
2.000000,7743
2.000000,8295
2.000000,6830
2.000000,9074
2.000000,6984
2.000000,6948
2.000000,7617
1.999999,8503
1.999998,9426
2.000000,6870
2.000000,7262
1.999999,7264
2.000000,6073
1.999999,9653
2.000000,7153
2.000000,7009
2.000000,8513
2.000000,8076
1.999999,8342
2.000000,8430
2.000000,7767
2.000000,6867
2.000000,6262
2.000000,7491
2.000000,8051
2.000000,7181
2.000000,7848
1.999999,8149
2.000000,6802
2.000000,7274
2.000000,8262
2.000000,7901
1.999999,8654
2.000000,7192
1.999999,8201
2.000000,7606
2.000000,7776
2.000001,8996
2.000000,7555
1.999999,7791
2.000000,7119
2.000001,9026
2.000000,6702
2.000000,8025
2.000003,8623
1.999999,7912
2.000000,8785
1.999999,8335
2.000000,6600
2.000000,7231
2.000000,6820
1.999999,6820
1.999999,6756
2.000000,8174
1.999999,10119
1.999999,7655
2.000000,8289
2.000000,6788
