consensus,rounds
2.010203,11819
2.010203,11838
2.010203,14101
2.010203,7818
2.010204,12684
2.010203,12807
2.010203,10879
2.010206,8536
2.010207,9102
2.010203,10645
2.010203,11005
2.010203,9453
2.010204,13188
2.010202,11251
2.010203,12901
2.010203,10766
2.010203,10927
2.010203,12073
2.010203,11616
2.010203,13240
2.010203,12756
2.010203,10037
2.010203,11648
2.010203,12390
2.010206,8942
2.010204,8570
2.010203,11846
2.010203,10698
2.010203,11115
2.010203,11115
2.010203,9912
2.010203,11624
2.010203,12784
2.010203,10131
2.010203,12356
2.010203,14200
2.010203,9720
2.010203,13176
2.010203,11204
2.010202,10746
2.010203,11791
2.010203,11611
2.010203,10748
2.010203,13080
2.010203,11852
2.010203,11172
2.010203,12419
2.010203,12204
2.010203,12031
2.010203,10082
2.010204,13525
2.010203,12073
2.010203,10773
2.010203,10148
2.010203,10211
2.010204,13430
2.010203,12948
2.010203,11187
2.010202,11546
2.010203,12736
2.010203,11190
2.010203,13119
2.010202,12227
2.010203,11114
2.010203,10836
2.010203,11114
2.010203,10244
2.010203,8506
2.010203,11533
2.010203,10459
2.010203,11054
2.010203,12107
2.010203,11928
2.010203,11115
2.010203,14449
2.010203,11632
2.010203,10041
2.010203,7669
2.010203,10289
2.010202,15441
2.010203,13177
2.010203,8492
2.010203,13185
2.010203,13177
2.010203,12562
2.010203,12950
2.010203,12920
2.010203,9772
2.010203,9870
2.010203,12547
2.010203,12370
2.010203,12420
2.010203,13341
2.010203,11102
2.010203,9955
2.010203,10070
2.010203,15188
2.010203,14767
2.010203,12618
2.010203,11005
2.010203,10918
2.010203,13107
2.010203,12619
2.010205,9031
2.010203,11567
2.010203,10559
2.010203,11358
2.010203,12149
2.010203,11401
2.010204,13438
2.010203,11426
2.010203,12659
2.010203,11777
2.010202,11679
2.010203,11465
2.010203,10158
2.010203,12311
2.010204,8636
2.010203,11234
2.010203,9912
2.010203,10880
2.010203,10868
2.010203,11398
2.010203,10450
2.010203,12198
2.010203,11588
2.010204,13412
2.010203,10511
2.010203,12457
2.010203,10092
2.010203,10215
2.010202,12695
2.010203,11914
2.010203,10530
2.010203,10634
2.010203,12760
2.010203,9833
2.010203,10658
2.010203,12426
2.010203,11926
2.010203,13376
2.010203,12665
2.010203,12711
2.010203,12791
2.010203,11141
2.010203,9838
2.010203,10136
2.010203,10138
2.010204,12669
2.010203,13106
2.010203,10362
2.010203,10664
2.010203,11965
2.010203,9898
2.010203,11536
2.010203,11007
2.010203,12955
2.010203,13426
2.010202,7982
2.010203,13072
2.010203,11632
2.010205,9329
2.010204,8738
2.010203,9348
