consensus,rounds
1.989996,4784
1.990023,4380
1.989996,5385
1.990023,4350
1.989993,4127
1.989996,4995
1.989985,4698
1.989996,5328
1.989996,5193
1.989967,4354
1.989996,4929
1.989996,5760
1.989996,5471
1.989997,4298
1.989996,4527
1.989996,5000
1.989998,7458
1.989996,5007
1.989990,4278
1.989996,4811
1.989997,4874
1.989997,5047
1.989996,5496
1.989996,6455
1.989996,5269
1.989996,5341
1.989996,5956
1.989996,4693
1.989997,5035
1.989996,5490
1.989996,5089
1.989997,4703
1.989996,4800
1.990002,4209
1.989996,5103
1.989996,5190
1.989996,6032
1.989996,5604
1.989996,5202
1.989996,6092
1.990009,4596
1.989996,5612
1.989996,5588
1.989996,5891
1.989996,5507
1.989997,4989
1.989996,5688
1.989996,5391
1.990022,4622
1.989996,5476
1.990004,4463
1.989998,4364
1.989996,5971
1.989996,5878
1.989996,5683
1.989996,5018
1.989997,5056
1.989988,4442
1.989996,5798
1.989996,5099
1.989996,6662
1.989996,5256
1.989996,5259
1.989997,4752
1.990018,4486
1.989996,4862
1.989996,4983
1.989996,5385
1.989996,5007
1.989996,5201
1.989996,4986
1.989996,6304
1.989996,5433
1.989996,5127
1.989996,5121
1.989996,5246
1.989996,5923
1.989996,7445
1.989996,5075
1.989995,4564
1.990040,4623
1.989996,4743
1.989996,5668
1.989996,5793
1.989996,5318
1.989996,4979
1.989996,4790
1.989969,4757
1.989996,4921
1.989996,4939
1.989996,4992
1.989996,4861
1.989996,5552
1.989996,4749
1.990017,4203
1.989996,4904
1.989996,5407
1.989993,4711
1.989996,5320
1.990000,4266
1.989996,4963
1.989996,4988
1.989996,5527
1.989996,4812
1.989997,4692
1.989996,4969
1.989996,6817
1.989996,5147
1.989996,5832
1.989996,5047
1.989996,4827
1.989996,5106
1.989996,5402
1.989990,4567
1.989996,4830
1.989994,4513
1.989996,4852
1.989996,4843
1.989996,5039
1.990018,4401
1.989996,4955
1.989996,5326
1.989993,4487
1.989996,4912
1.989996,5544
1.990007,4418
1.989996,6106
1.989996,5610
1.989996,5206
1.989996,4587
1.990004,4532
1.989996,5110
1.989996,6359
1.989996,6033
1.989996,5544
1.989996,6358
1.989996,5193
1.990000,4651
1.989996,4837
1.990012,4612
1.990034,4766
1.989996,5560
1.989979,4517
1.989997,5719
1.989975,4733
1.989996,5500
1.989996,5109
1.989996,5487
1.989996,5005
1.989977,4519
1.989996,5341
1.989996,6001
1.989996,5149
1.989996,4670
1.989996,4937
1.989996,5753
1.989997,4941
1.989996,4787
1.990003,4514
1.989996,5091
1.989996,5656
1.989996,4816
1.989996,4859
1.989996,5572
1.989996,4715
1.989996,5108
1.989996,5789
1.989996,5695
1.989996,5592
1.990002,4491
1.989996,5530
1.989996,5313
1.989996,7152
1.990012,4621
1.989984,4416
1.989999,4407
1.989996,4582
1.989996,4776
1.989996,5349
1.989996,3930
1.989996,5635
1.989996,4839
1.989996,4956
1.989996,5108
1.989996,4754
1.989996,5137
1.989996,5539
1.989989,4633
1.989996,5271
1.989974,4550
1.989996,5168
1.989996,4962
1.989996,4895
1.989996,4731
1.990032,4781
1.989996,5230
1.989996,5601
1.989996,4800
1.989996,4910
1.989996,5227
1.989996,4637
1.989996,4593
1.989996,5437
1.989996,5784
1.989996,6663
1.989996,5809
1.989996,4818
1.989996,4845
1.989997,5017
1.989996,4891
1.989996,5050
1.990033,4145
1.989996,5362
1.989996,5213
1.989996,5268
1.989996,4983
1.989996,4818
1.990007,4140
1.989996,5104
1.989996,4939
1.989997,5180
1.989996,5503
1.989997,4863
1.989996,6306
1.989996,5431
1.989996,4949
1.989997,5049
1.989996,5522
1.989996,5605
1.989996,4892
1.989996,5410
1.989996,5122
1.989996,5322
1.990009,4220
1.989997,5042
1.989996,5082
1.989996,4855
1.989996,6098
1.989996,4814
1.989991,4342
1.989996,6578
1.989996,4998
1.989996,4329
1.989993,4437
1.989981,4856
1.989996,5282
1.989997,5199
1.989996,4863
1.989986,4537
1.989996,5066
1.989999,4141
1.989996,5220
1.989977,4277
1.989996,5647
1.989996,5544
1.989996,4877
1.989996,5698
1.989996,4931
1.989997,4795
1.989996,6054
1.989996,5252
1.989996,5048
1.989996,5233
1.989996,5770
1.989996,5168
1.989996,5634
1.989997,5071
1.989996,4793
1.989996,5263
1.989997,4825
1.989996,5375
1.989996,5140
1.989996,4870
