consensus,rounds
2.616491,9932
2.119706,12199
2.935619,13073
2.095637,15728
2.572908,8308
2.437225,11648
2.919098,13043
2.875103,13719
2.268025,15649
2.485845,11617
2.253613,10367
2.216787,12009
2.286992,10058
2.461264,14928
2.977512,13797
2.961656,11938
2.210072,12230
2.097797,12410
2.351535,12504
2.154223,9905
2.492030,12009
2.551087,13535
3.033236,10870
2.165884,10930
2.063281,10587
2.967433,10913
3.230558,11676
2.733285,12860
2.658318,8057
2.268081,11962
2.317699,11158
2.090663,13879
2.309873,11072
2.537665,11554
2.047895,10113
2.325591,13804
2.409857,14789
3.229871,13778
2.313814,12987
2.820885,12016
2.219072,16745
2.123312,12060
2.247979,11165
2.208222,10054
2.350362,10791
2.492908,11908
2.456577,12993
2.612909,12661
2.960265,11803
2.147814,11168
2.151959,12621
2.550137,8858
2.233276,12240
2.034467,11829
2.085285,10698
2.045474,10295
2.055443,10800
2.242330,11500
2.401597,11204
2.346992,11843
2.177538,10001
2.037320,10853
2.559397,10692
2.122022,10076
2.663748,11542
2.167656,12640
2.096435,9030
2.018877,10295
2.331352,12602
2.262840,13356
2.099552,11800
2.324148,13066
2.147561,13838
2.781659,12563
2.603124,11137
2.048020,11429
2.096909,10563
2.516665,11994
2.772709,12653
2.340128,9523
2.114649,12910
2.108655,9973
2.251954,14454
2.655656,9883
2.049850,7848
2.230732,12841
2.505210,10206
2.337460,11673
2.032324,9963
2.242156,11746
2.520552,12287
2.625473,12716
2.442622,13642
2.058589,11691
2.708773,10300
2.020031,16371
2.916988,11653
2.287915,13421
2.711778,12325
2.548208,10915
2.457173,12684
2.110941,8064
2.578661,12840
2.050252,12840
3.468141,9414
2.911201,15073
2.683299,12983
2.271448,12634
2.265386,11694
2.167795,13133
2.700041,14837
2.096871,15779
2.969929,12594
2.059373,7772
2.108323,10374
3.136895,13617
2.481615,15331
2.991077,10865
2.377413,10410
3.797867,12587
2.745104,12259
2.053178,11963
2.300684,10393
2.667838,11670
2.140525,12333
2.141007,12729
2.127927,11786
2.198787,11087
3.457958,12827
2.334967,12880
2.306137,13259
2.081040,13174
2.166597,9633
2.155337,13909
2.247355,13848
2.215569,12861
2.719880,11842
2.715020,11730
2.856533,12242
2.312132,11827
2.130219,12971
2.451003,14787
2.150883,12142
2.611096,11355
2.280776,12167
2.130268,14804
2.528883,12684
2.138116,9765
2.380530,11532
2.120953,12943
2.118970,12506
2.038105,12056
2.378442,11910
2.404321,12327
2.808400,11992
2.016756,14796
2.115753,12496
2.326814,11220
3.687109,9593
2.607412,14797
2.024903,11642
2.407927,11508
2.746762,15349
2.112356,12326
2.054883,12809
2.657632,10131
2.721260,11804
2.578833,10371
2.493546,11990
2.593102,13092
2.081316,13846
2.170621,13948
2.044912,13182
2.634067,12633
3.034139,14929
2.253454,13050
2.103964,11604
2.410829,12157
2.036845,11520
2.077655,10235
2.430457,14972
2.171112,12078
2.057569,11022
2.455938,12802
2.043404,11710
2.278713,13437
3.564823,11345
2.290967,11856
2.243054,10023
2.302176,14886
2.364004,11449
2.642579,12000
2.030767,7983
2.583832,11515
2.050791,9058
2.400028,12473
2.437855,12251
2.262226,14442
2.220889,10356
2.030776,10189
3.439479,10415
2.121341,12151
2.093742,11933
2.317171,12855
2.304660,12845
2.505388,13262
2.474821,10033
2.029593,12476
2.137013,13449
2.362855,11398
2.027105,12768
2.161466,10946
2.013315,12005
2.276378,12588
2.436423,12342
2.033274,10777
2.498631,11154
2.636002,10744
2.480989,13632
2.051775,9442
2.051600,10674
2.288308,11475
2.289845,11465
3.092669,14213
2.745152,13014
2.490154,11519
2.258288,13383
2.577184,11547
2.553182,10367
2.075403,12477
2.171037,13280
2.881719,13412
2.321788,10730
2.500621,9878
2.187086,12149
2.399275,13229
2.057399,14516
2.318266,12023
2.378436,13162
2.067780,8892
2.703222,14747
2.421923,10557
2.094077,9619
2.228855,11081
2.108683,10444
2.072918,12255
2.321174,13820
2.403531,8908
2.405798,12043
2.811686,13304
2.120442,10549
2.313925,11461
2.242654,11253
2.525445,12952
2.102780,10184
2.158345,11997
2.196281,11404
2.160554,13346
2.041847,8102
2.065658,12519
2.243316,13319
2.167894,11114
2.517378,11266
2.684561,11621
2.093648,11902
2.216291,12810
2.055157,9823
2.495375,13001
2.650760,11084
2.272114,11371
2.168523,11943
2.503180,13090
2.782261,13904
2.013876,9770
2.239046,12872
2.359286,12812
2.019566,10088
2.226694,11481
2.540867,12938
2.061827,11468
2.056732,12081
2.538646,11637
2.182379,11426
2.104562,12657
2.523378,12755
2.328081,12784
2.228224,11998
2.357349,11569
2.051401,12200
2.110068,12990
2.495721,13115
2.138631,11081
2.607708,14118
2.333836,11720
2.508583,12693
2.679244,11332
2.921728,13450
2.865787,12280
3.576359,11245
2.213160,14060
2.322970,14982
2.409413,11792
2.266390,11551
2.044123,9788
3.060111,13578
3.301726,10750
2.024210,11328
2.190625,9020
2.495527,11326
2.276468,11479
2.584443,13182
2.035876,12052
2.218995,11798
2.012900,11076
2.049812,11978
2.380797,12761
2.139480,12707
2.222368,11197
2.446923,12584
2.090085,11305
2.120653,12972
2.013577,14065
2.982048,11478
2.387483,13074
2.308846,12038
2.641718,13238
2.678314,12054
2.442820,10200
2.102426,13925
2.018389,11168
3.079558,13477
2.049294,11553
2.246276,12370
2.018983,10629
2.078650,14940
3.201921,14294
2.062081,12111
2.623976,13707
3.180146,12867
2.019052,9983
2.077732,9143
2.820014,11397
2.638306,12036
2.074929,10871
2.087820,10588
2.108992,10879
2.057408,11647
2.161285,12184
2.265487,12051
2.131961,14435
2.725508,12545
3.449707,10162
2.087530,10519
2.269834,13203
2.112467,13105
2.117602,12361
2.602008,13852
2.714271,11976
2.455651,12189
2.396423,11307
2.126665,13058
2.136763,12696
3.033603,12726
2.648617,13166
2.484764,11012
2.018429,11537
2.613764,11610
2.880448,12171
2.079716,11087
2.098866,13550
2.199824,10470
2.299196,13794
2.714871,14653
2.184364,12028
2.617454,12026
2.668189,13589
2.708022,10981
2.249281,11586
2.166177,11911
2.261299,12951
2.380094,10226
2.160417,12463
2.521468,12902
2.544154,12843
2.106649,12275
2.386786,13356
2.513413,13348
2.873319,12303
2.804709,12587
2.631214,10707
2.482354,11820
2.389144,12196
2.990570,12978
2.954418,15038
2.201679,10254
2.264027,12520
2.201357,11504
2.412066,11958
2.196107,12652
3.588740,12697
2.419720,9946
3.412563,12817
2.190327,12573
2.364413,10699
2.243923,13497
2.413560,10677
2.034762,12436
2.288081,10461
2.295357,11600
2.737883,12581
2.345853,11274
2.160278,10970
2.158902,11177
2.234201,11674
2.810763,10654
2.104788,10948
3.182914,13219
3.483445,15907
2.706400,12217
2.218954,11095
3.062706,12446
2.750790,11711
2.106829,12185
2.584712,12687
2.635823,12381
2.085799,12228
2.056392,13310
2.206131,13010
2.115857,12362
2.451042,12124
2.784214,10871
2.099097,11560
2.117536,8597
2.423736,11879
2.829291,12052
2.430751,9317
2.417318,13744
2.258700,12702
2.040588,10567
2.188804,12176
2.159237,13086
2.078981,12635
2.089514,13923
2.106522,12533
2.021752,11119
2.478635,12800
2.296817,12119
2.146932,9697
2.793964,12616
2.044899,12021
3.083213,10763
2.047889,9757
2.014894,10904
2.322888,10658
2.062339,10554
2.382353,13397
2.170084,11260
2.724757,14683
2.053977,11356
3.369023,13948
2.670093,9160
2.060726,11639
2.164523,12056
2.404272,11121
2.690651,12966
2.041405,13401
2.137517,11544
2.332916,7577
2.170012,11366
2.870873,13603
2.076678,11577
2.086534,11629
2.131198,12114
2.081599,11135
2.083375,12137
3.094264,10465
2.409764,12217
2.746290,11371
2.083449,11696
3.067251,12877
2.263997,13115
2.053205,7796
2.212043,11503
2.681820,13849
2.679794,13736
2.460852,12739
2.259181,12872
2.598798,12446
2.067920,12415
3.090758,11233
2.145199,11592
2.241384,11285
2.351050,13154
2.047653,11200
2.329403,11066
2.337515,11962
2.416614,12016
2.072225,11295
2.634860,13256
2.888663,10707
2.442765,15282
3.297779,12329
2.138488,11227
3.025270,10758
2.333635,11437
2.732883,11748
3.395768,12597
2.037544,12101
3.005835,13091
2.508154,12642
2.269094,13651
2.088055,10019
2.239346,13851
2.567884,13219
2.696628,11943
2.038197,7243
2.118743,9383
2.376098,10137
2.207659,9369
2.169642,11156
2.690668,11253
2.436180,11876
2.564833,12331
2.214903,9215
3.363788,14867
2.490180,13044
3.028089,12798
2.183892,11450
2.283443,11085
2.459955,10819
2.634873,12938
2.849190,14255
2.568729,13346
2.073424,10950
2.635860,12149
2.038765,12445
2.437955,8834
2.077499,13412
2.615631,11279
2.850211,10372
2.527648,12785
2.996969,10496
2.257260,12222
2.452398,10444
2.101986,10953
2.454089,12303
2.282576,10370
2.188074,10309
2.583156,10995
2.341471,10835
2.767067,12124
2.035069,9453
2.046269,11730
2.434428,12017
2.466143,10950
2.015082,13530
2.170383,12438
2.275154,10558
2.480589,13874
2.280290,13569
2.527444,11044
2.929482,11819
2.448347,13201
2.107518,12499
2.324687,10784
2.224568,10307
2.282227,10936
2.061681,12305
2.041368,11977
2.096742,12238
3.366093,11174
2.204698,12468
2.160955,11611
2.893214,10520
2.092701,10689
2.013500,10953
2.137360,13274
2.663888,13857
2.233636,10413
2.039246,13119
2.048685,12121
2.124266,11774
2.071257,12849
2.151904,11006
2.230612,12148
2.137582,10988
2.646027,12676
2.101834,12329
2.430092,13031
3.105764,12961
2.616314,11692
2.129669,11546
2.198446,11597
2.436282,10476
2.096219,12969
2.417006,13331
2.841345,13182
2.638866,10439
2.408525,14155
2.193949,13299
2.162803,10184
