degree
16
26
18
16
196
72
50
164
98
120
38
66
192
36
10
72
56
138
74
164
28
16
184
104
88
30
154
54
22
46
40
20
132
60
4
8
34
184
20
36
30
136
24
28
50
46
34
2
52
132
28
66
22
24
60
86
60
4
62
188
106
72
198
96
10
4
22
138
14
32
24
74
124
176
56
14
46
50
36
8
40
164
60
2
112
230
100
24
64
28
24
148
104
168
68
12
102
242
176
88
164
90
42
20
54
40
124
48
92
24
10
54
22
80
26
66
112
10
52
10
164
188
36
116
130
194
64
54
86
202
96
2
36
16
22
4
196
36
46
118
52
4
14
162
18
18
42
16
14
98
42
4
36
114
12
48
52
2
112
20
8
30
46
28
24
26
74
10
38
18
148
154
54
42
34
58
162
16
86
60
26
6
272
64
60
56
56
50
52
22
40
160
64
42
20
122
70
6
34
2
32
38
4
20
140
206
148
76
154
158
40
138
42
82
150
144
92
102
26
206
20
30
130
88
18
28
10
6
18
78
28
36
174
42
56
14
120
16
98
106
14
10
20
152
12
14
142
146
182
62
52
152
164
136
120
148
80
180
172
34
38
138
146
78
4
30
78
156
18
182
170
94
14
104
78
26
38
22
118
124
38
136
126
20
18
162
210
106
116
32
40
38
94
202
4
66
24
86
190
26
82
32
182
20
36
6
34
32
212
42
24
140
86
6
32
144
116
4
80
64
48
34
8
44
28
32
46
118
198
52
124
114
24
120
142
110
128
28
76
26
4
58
180
68
142
6
104
84
2
46
30
36
62
82
20
46
84
18
56
138
58
138
72
98
158
68
26
106
190
130
22
102
14
42
174
84
178
74
4
50
42
100
52
38
32
10
14
72
98
28
150
30
200
98
18
164
10
154
32
28
8
154
26
62
20
126
104
26
24
30
30
122
90
122
10
44
170
108
196
76
54
48
230
18
150
102
72
100
18
102
214
10
20
30
12
28
150
80
128
18
66
242
96
38
164
22
122
100
124
34
32
102
22
134
90
120
204
124
86
136
140
6
16
64
58
2
14
10
18
68
24
14
166
18
2
68
122
96
36
40
140
20
110
6
30
136
120
8
58
130
176
26
168
20
180
22
24
28
102
12
58
10
112
44
18
12
74
32
94
120
48
36
142
34
146
10
52
80
48
134
14
14
134
120
158
44
66
100
36
22
78
30
52
32
142
78
14
170
42
20
182
20
60
92
28
100
80
28
46
26
48
68
70
124
48
12
10
16
76
106
50
28
44
108
54
156
8
70
26
54
208
124
64
14
40
54
80
122
130
36
28
52
26
26
26
130
60
26
66
16
170
100
22
62
124
82
92
60
54
106
46
114
60
94
14
142
2
16
10
8
86
50
124
56
38
140
36
48
212
22
2
30
138
52
44
94
94
36
8
236
22
118
44
90
80
124
88
118
34
78
132
70
68
8
42
36
16
34
8
20
32
62
30
26
76
12
38
50
224
136
14
12
172
36
30
98
34
36
184
70
122
12
16
128
12
46
16
144
30
60
134
26
150
128
68
150
166
22
162
166
24
122
16
106
38
28
20
34
146
26
148
260
96
90
122
20
16
84
10
28
12
32
30
4
14
60
118
48
40
106
32
32
96
104
102
192
18
12
48
104
32
36
60
74
150
228
14
72
68
14
28
102
34
24
138
2
2
30
30
122
88
4
34
56
104
176
18
124
44
38
78
30
12
18
224
16
14
8
40
44
10
128
212
96
12
40
18
32
64
44
34
32
40
26
22
174
